,player_id,start_time,player_team_id,home_team_id,ground_id,international_class_id,floodlit,neutral_match,international_valid,followon,rain_rule,days_extended,actual_days,position_id,style_id,height,weight,current_age_in_days,batting_order,opponent_team_id,target_value,target_id,is_home,current_age
14748,1150884,2023-03-08 01:30:00,16,0,2587,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,12810,6,38,13.0,1,False,35.0958904109589
14755,1150884,2023-03-12 05:40:00,16,19,2587,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12814,6,19,1.0,1,False,35.106849315068494
14758,217528,2023-03-04 18:00:00,39,21,325,3.0,1,0,1,0,0,0,1,1,2,0.0,0.0,14249,8,21,2.0,1,False,39.038356164383565
14760,217528,2023-02-25 18:00:00,39,0,2034,3.0,1,1,1,0,0,0,1,1,2,0.0,0.0,14242,9,12,11.0,1,False,39.01917808219178
14764,217528,2023-10-03 17:30:00,39,12,674,3.0,1,0,1,0,0,0,1,1,2,0.0,0.0,14462,7,12,1.0,1,False,39.62191780821918
14776,307184,2023-02-26 18:00:00,21,21,325,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12808,10,12,8.0,1,True,35.09041095890411
14782,307184,2023-02-25 13:30:00,21,21,267,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12807,10,183,2.0,1,True,35.087671232876716
14790,414052,2023-02-26 18:00:00,21,21,325,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,11347,11,12,5.0,1,True,31.087671232876712
14795,414052,2023-02-25 13:30:00,21,21,267,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,11346,11,183,0.0,1,True,31.084931506849315
14800,345279,2023-03-02 13:30:00,183,0,267,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,14651,4,39,17.0,1,False,40.13972602739726
14801,345279,2023-02-28 18:00:00,183,0,325,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,14649,4,12,25.0,1,False,40.134246575342466
14810,1182028,2023-03-02 13:30:00,183,0,267,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,13064,6,39,19.0,1,False,35.79178082191781
14811,1182028,2023-02-28 18:00:00,183,0,325,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,13062,6,12,51.0,1,False,35.78630136986301
14817,1182028,2023-10-03 13:00:00,183,0,674,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,13279,7,17,24.0,1,False,36.38082191780822
14821,1182031,2023-03-02 13:30:00,183,0,267,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,13563,11,39,0.0,1,False,37.15890410958904
14843,257574,2023-02-21 13:00:00,12,21,2034,3.0,1,0,1,0,0,0,1,0,2,0.0,0.0,12293,5,21,19.0,1,False,33.679452054794524
14849,252862,2023-02-28 13:30:00,111,0,2034,3.0,1,1,1,0,0,0,1,8,0,0.0,0.0,12860,4,39,2.0,1,False,35.23287671232877
14856,252862,2023-02-26 13:30:00,111,0,267,3.0,1,1,1,0,0,0,1,8,0,0.0,0.0,12858,4,183,0.0,1,False,35.227397260273975
14861,252862,2023-03-02 18:00:00,111,21,2034,3.0,1,0,1,0,0,0,1,8,0,0.0,0.0,12862,7,21,19.0,1,False,35.23835616438356
14868,1230027,2023-02-24 09:00:00,147,200,2697,3.0,1,0,1,0,0,0,1,1,2,0.0,0.0,6670,9,200,1.0,1,False,18.273972602739725
14875,414048,2023-02-25 13:30:00,21,21,267,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,9879,2,183,2.0,1,True,27.065753424657533
14881,414048,2023-02-22 13:00:00,21,21,325,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,9876,4,12,6.0,1,True,27.057534246575344
14884,414048,2023-02-26 18:00:00,21,21,325,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,9880,2,12,0.0,1,True,27.068493150684933
14933,974109,2023-03-27 16:00:00,40,0,848,3.0,3,1,1,0,0,0,1,1,2,0.0,0.0,8034,9,7,0.0,1,False,22.01095890410959
14986,272450,2023-09-01 16:00:00,2,3,302,3.0,3,0,1,0,0,0,1,0,2,0.0,0.0,11639,3,3,79.0,1,False,31.887671232876713
14996,272450,2023-09-03 12:00:00,2,3,302,3.0,1,0,1,0,0,0,1,0,2,0.0,0.0,11641,3,3,15.0,1,False,31.893150684931506
15097,1182040,2023-10-03 13:00:00,183,0,674,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,13446,3,17,4.0,1,False,36.83835616438356
15126,55412,2023-01-15 11:00:00,9,9,260,3.0,1,0,1,0,0,0,1,5,0,0.0,0.0,13663,3,29,54.0,1,True,37.43287671232877
15137,55412,2023-01-12 11:00:00,9,9,260,3.0,1,0,1,0,0,0,1,5,0,0.0,0.0,13660,1,29,4.0,1,True,37.42465753424658
15149,938959,2023-01-15 11:00:00,9,9,260,3.0,1,0,1,0,0,0,1,0,2,0.0,0.0,8168,4,29,2.0,1,True,22.378082191780823
15159,938959,2023-01-12 11:00:00,9,9,260,3.0,1,0,1,0,0,0,1,0,2,0.0,0.0,8165,3,29,16.0,1,True,22.36986301369863
15220,961401,2023-01-14 11:00:00,29,9,260,3.0,1,0,1,0,0,0,1,6,2,0.0,0.0,8913,3,9,2.0,1,False,24.41917808219178
15256,55870,2023-01-12 11:00:00,9,9,260,3.0,1,0,1,0,0,0,1,5,0,0.0,0.0,13257,5,29,34.0,1,True,36.320547945205476
15284,232438,2023-01-12 11:00:00,9,9,260,3.0,1,0,1,0,0,0,1,5,0,0.0,0.0,12104,4,29,30.0,1,True,33.16164383561644
15285,495964,2023-01-12 11:00:00,9,9,260,3.0,1,0,1,0,0,0,1,5,0,0.0,0.0,10499,6,29,8.0,1,True,28.764383561643836
15300,495964,2023-01-15 11:00:00,9,9,260,3.0,1,0,1,0,0,0,1,5,0,0.0,0.0,10502,6,29,30.0,1,True,28.77260273972603
15327,1045883,2023-01-12 11:00:00,9,9,260,3.0,1,0,1,0,0,0,1,9,2,0.0,0.0,8310,7,29,18.0,1,True,22.767123287671232
15328,1045883,2023-01-15 11:00:00,9,9,260,3.0,1,0,1,0,0,0,1,9,2,0.0,0.0,8313,7,29,5.0,1,True,22.775342465753425
15374,629074,2023-01-07 13:30:00,8,6,2401,3.0,3,0,1,0,0,0,1,9,2,0.0,0.0,10201,2,6,23.0,1,False,27.947945205479453
15386,629074,2023-01-03 13:30:00,8,6,713,3.0,3,0,1,0,0,0,1,9,2,0.0,0.0,10197,2,6,28.0,1,False,27.936986301369863
15397,465793,2023-01-07 13:30:00,8,6,2401,3.0,3,0,1,0,0,0,1,0,2,5.08,0.0,11446,4,6,22.0,1,False,31.35890410958904
15414,465793,2023-01-03 13:30:00,8,6,713,3.0,3,0,1,0,0,0,1,0,2,5.08,0.0,11442,3,6,8.0,1,False,31.34794520547945
15426,499594,2023-01-07 13:30:00,8,6,2401,3.0,3,0,1,0,0,0,1,1,2,0.0,0.0,10812,10,6,9.0,1,False,29.621917808219177
15433,499594,2023-01-03 13:30:00,8,6,713,3.0,3,0,1,0,0,0,1,1,2,0.0,0.0,10808,10,6,5.0,1,False,29.610958904109587
15441,1079848,2023-01-05 13:30:00,6,6,2677,3.0,3,0,1,0,0,0,1,1,2,0.0,0.0,8806,8,8,26.0,1,True,24.126027397260273
15444,1079848,2023-01-27 13:30:00,6,6,2575,3.0,3,0,1,0,0,0,1,1,2,0.0,0.0,8828,8,5,2.0,1,True,24.186301369863013
15493,348144,2023-04-17 16:00:00,7,7,545,3.0,3,0,1,0,0,0,1,3,2,0.0,0.0,10411,2,5,1.0,1,True,28.523287671232875
15531,480603,2023-04-17 16:00:00,7,7,545,3.0,3,0,1,0,0,0,1,5,2,0.0,0.0,11914,8,5,60.0,1,True,32.64109589041096
15617,542023,2023-08-30 16:00:00,3,3,302,3.0,3,0,1,0,0,0,1,1,2,0.0,0.0,10015,10,2,2.0,1,True,27.438356164383563
15777,379140,2023-09-01 17:00:00,5,1,75,3.0,3,0,1,0,0,0,1,9,0,0.0,0.0,11743,2,1,2.0,1,False,32.172602739726024
15781,379140,2023-02-01 13:30:00,5,6,840,3.0,3,0,1,0,0,0,1,9,0,0.0,0.0,11531,2,6,1.0,1,False,31.59178082191781
15992,308693,2023-10-10 09:00:00,135,173,3412,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12737,10,173,1.0,1,False,34.895890410958906
15993,308693,2023-10-06 09:00:00,135,173,3412,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12733,10,173,5.0,1,False,34.88493150684931
15994,308693,2023-10-05 13:15:00,135,0,3412,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,12732,11,191,6.0,1,False,34.88219178082192
16001,1155511,2023-05-30 10:30:00,171,0,311,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,7092,6,4253,16.0,1,False,19.43013698630137
16041,346529,2023-05-29 06:00:00,4253,0,311,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,11597,6,116,6.0,1,False,31.77260273972603
16046,346529,2023-05-27 10:30:00,4253,0,311,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,11595,7,169,3.0,1,False,31.767123287671232
16116,1155538,2023-10-14 13:15:00,196,0,3412,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,7639,7,135,9.0,1,False,20.92876712328767
16117,1155538,2023-10-12 13:15:00,196,173,3412,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,7637,10,173,12.0,1,False,20.923287671232877
16120,1155538,2023-10-05 09:00:00,196,173,3412,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,7630,10,173,7.0,1,False,20.904109589041095
16430,419873,2023-10-06 06:00:00,40,0,3638,3.0,1,1,1,0,0,0,1,9,2,5.03,0.0,13418,2,7,9.0,1,False,36.76164383561644
16582,300624,2023-09-30 13:00:00,17,12,3494,3.0,1,0,1,0,0,0,1,10,2,6.0,0.0,12537,6,12,9.0,1,False,34.347945205479455
16587,446690,2023-09-30 13:00:00,17,12,3494,3.0,1,0,1,0,0,0,1,0,2,0.0,0.0,11492,4,12,9.0,1,False,31.484931506849314
16626,269280,2023-03-26 12:00:00,3,3,902,3.0,1,0,1,0,0,0,1,6,2,0.0,0.0,12277,2,4,68.0,1,True,33.635616438356166
16631,269280,2023-08-30 16:00:00,3,3,302,3.0,3,0,1,0,0,0,1,6,2,0.0,0.0,12434,1,2,56.0,1,True,34.06575342465754
16637,269280,2023-03-28 16:00:00,3,3,508,3.0,3,0,1,0,0,0,1,6,2,0.0,0.0,12279,2,4,83.0,1,True,33.64109589041096
16651,321777,2023-03-26 12:00:00,3,3,902,3.0,1,0,1,0,0,0,1,5,0,0.0,0.0,12342,4,4,10.0,1,True,33.81369863013698
16670,321777,2023-03-28 16:00:00,3,3,508,3.0,3,0,1,0,0,0,1,5,0,0.0,0.0,12344,4,4,11.0,1,True,33.81917808219178
