,Unnamed: 0,player_id,start_time,player_team_id,home_team_id,ground_id,international_class_id,floodlit,neutral_match,international_valid,followon,rain_rule,days_extended,actual_days,position_id,style_id,height,weight,current_age_in_days,batting_order,opponent_team_id,target_value,target_id,is_home,current_age
23078,2532,1161606,2021-04-23 09:00:00,7,9,260,3.0,1,0,1,0,0,0,1,1,2,5.11,0.0,10029,9,9,6.0,1,False,27.476712328767125
23079,2533,1161606,2021-07-18 13:30:00,7,1,179,3.0,1,0,1,0,0,0,1,1,2,5.11,0.0,10115,10,1,0.0,1,False,27.71232876712329
23080,2544,1161606,2022-09-11 14:00:00,7,0,2439,3.0,3,1,1,0,0,0,1,1,2,5.11,0.0,10535,9,8,13.0,1,False,28.863013698630137
23081,2557,1161606,2022-10-02 14:30:00,7,7,545,3.0,3,0,1,0,0,0,1,1,2,5.11,0.0,10556,9,1,1.0,1,True,28.92054794520548
24171,6375,600498,2022-10-02 13:30:00,3,6,2865,3.0,3,0,1,0,0,0,1,6,2,0.0,0.0,10225,4,6,33.0,1,False,28.013698630136982
24172,6376,600498,2021-10-30 10:00:00,3,0,848,3.0,1,1,1,0,0,0,1,6,2,0.0,0.0,9888,5,8,19.0,1,False,27.09041095890411
24173,6378,600498,2021-04-12 12:30:00,3,3,508,3.0,1,0,1,0,0,0,1,6,2,0.0,0.0,9687,2,7,54.0,1,True,26.53972602739726
24174,6381,600498,2022-11-03 08:00:00,3,0,132,3.0,3,1,1,0,9,0,1,6,2,0.0,0.0,10257,4,7,20.0,1,False,28.101369863013694
24175,6384,600498,2021-11-02 10:00:00,3,0,1965,3.0,1,1,1,0,0,0,1,6,2,0.0,0.0,9891,4,25,0.0,1,False,27.0986301369863
24176,6385,600498,2021-07-01 18:00:00,3,4,1131,3.0,1,0,1,0,0,0,1,6,2,0.0,0.0,9767,4,4,20.0,1,False,26.75890410958904
24177,6387,600498,2021-09-12 13:30:00,3,8,1004,3.0,3,0,1,0,0,0,1,6,2,0.0,0.0,9840,3,8,21.0,1,False,26.95890410958904
24178,6389,600498,2022-11-06 00:00:00,3,0,131,3.0,1,1,1,0,0,0,1,6,2,0.0,0.0,10260,4,15,17.0,1,False,28.10958904109589
24179,6390,600498,2022-10-30 11:00:00,3,0,3404,3.0,3,1,1,0,0,0,1,6,2,0.0,0.0,10253,4,6,52.0,1,False,28.09041095890411
24259,6624,696401,2022-06-17 13:30:00,3,6,2401,3.0,3,0,1,0,0,0,1,2,2,0.0,0.0,8082,7,6,12.0,1,False,22.14246575342466
26441,13067,512191,2021-12-16 13:00:00,7,7,487,3.0,3,0,1,0,0,0,1,6,0,0.0,0.0,11573,3,4,12.0,1,True,31.70684931506849
26442,13069,512191,2021-11-19 08:00:00,7,25,2025,3.0,1,0,1,0,0,0,1,6,0,0.0,0.0,11546,3,25,34.0,1,False,31.63287671232877
26443,13070,512191,2022-10-30 07:00:00,7,0,3404,3.0,2,1,1,0,0,0,1,6,0,0.0,0.0,11891,3,15,20.0,1,False,32.57808219178082
