Unnamed: 0,player_id,start_time,player_team_id,home_team_id,ground_id,international_class_id,floodlit,neutral_match,international_valid,followon,rain_rule,days_extended,actual_days,position_id,style_id,height,weight,current_age_in_days,batting_order,opponent_team_id,mt,inns,rn,fo,si,ft,ft.1,hn,bf,dk,times_not_out,hs,bta,btsr,country_id,target_value,target_id,is_home,current_age,opposition_mt,opposition_inns,opposition_rn,opposition_fo,opposition_si,opposition_ft,opposition_hn,opposition_bf,opposition_dk,opposition_times_not_out,opposition_hs,opposition_bta,opposition_btsr,host_mt,host_inns,host_rn,host_fo,host_si,host_ft,host_hn,host_bf,host_dk,host_times_not_out,host_hs,host_bta,host_btsr,batting_positionval1_mt,batting_positionval1_inns,batting_positionval1_rn,batting_positionval1_fo,batting_positionval1_si,batting_positionval1_ft,batting_positionval1_hn,batting_positionval1_bf,batting_positionval1_dk,batting_positionval1_times_not_out,batting_positionval1_hs,batting_positionval1_bta,batting_positionval1_btsr,freq,target_value_binary,stratify_col
37262,44936,2007-06-10 09:00:00,4058,0,291,2.0,2,1,1,0,0,0,1,9,16,0.0,0.0,8514.0,1,106,228,218.0,9577.0,840.0,204.0,53.0,53.0,25.0,9473.0,7.0,39.0,176.0,53.5,101.09,6,70.0,1,False,23.326027397260276,5,5.0,150.0,17.0,4.0,1.0,0.0,165.0,0.0,0.0,70.0,30.0,90.9,20,20.0,1125.0,94.0,35.0,3.0,7.0,987.0,0.0,4.0,134.0,70.31,113.98,16.0,16.0,512.0,60.0,13.0,3.0,1.0,535.0,2.0,1.0,146.0,34.13,95.7,18,1,44936_1
39672,55946,2011-03-14 03:30:00,25,25,1931,2.0,1,0,1,0,0,0,1,7,6,0.0,0.0,8536.0,3,15,54,53.0,1196.0,118.0,7.0,6.0,6.0,1.0,1753.0,6.0,1.0,100.0,23.0,68.22,25,35.0,1,True,23.386301369863013,2,2.0,66.0,8.0,0.0,0.0,0.0,72.0,0.0,0.0,35.0,33.0,91.66,28,28.0,489.0,41.0,3.0,3.0,0.0,830.0,4.0,1.0,85.0,18.11,58.91,28.0,28.0,778.0,69.0,6.0,4.0,1.0,1086.0,1.0,1.0,100.0,28.81,71.63,57,1,55946_1
32716,25490,2018-03-18 07:30:00,30,0,260,2.0,1,1,1,0,0,0,1,7,16,0.0,0.0,11307.0,4,29,112,106.0,2928.0,198.0,65.0,18.0,18.0,4.0,3928.0,5.0,12.0,127.0,31.14,74.54,9,44.0,1,False,30.97808219178082,16,14.0,321.0,21.0,8.0,1.0,1.0,429.0,1.0,2.0,101.0,26.75,74.82,13,13.0,520.0,39.0,8.0,3.0,1.0,686.0,0.0,2.0,127.0,47.27,75.8,54.0,54.0,1657.0,108.0,36.0,10.0,3.0,2269.0,3.0,6.0,127.0,34.52,73.02,46,1,25490_1
28953,34102,2013-06-20 09:30:00,6,0,644,2.0,1,1,1,0,0,0,1,7,16,0.0,0.0,9548.0,1,8,257,249.0,10510.0,971.0,312.0,54.0,54.0,31.0,11504.0,16.0,36.0,264.0,49.34,91.35,1,33.0,1,False,26.15890410958904,51,49.0,1860.0,173.0,50.0,7.0,6.0,1971.0,5.0,9.0,264.0,46.5,94.36,27,27.0,1428.0,150.0,32.0,7.0,7.0,1573.0,2.0,5.0,140.0,64.9,90.78,141.0,141.0,6859.0,659.0,237.0,36.0,21.0,7344.0,8.0,15.0,209.0,54.43,93.39,59,1,34102_1
37525,11728,2007-10-13 09:00:00,1,8,1004,2.0,2,0,1,0,0,0,1,6,6,6.02,0.0,8327.0,1,8,92,92.0,3204.0,363.0,10.0,19.0,19.0,5.0,4154.0,7.0,4.0,137.0,36.4,77.13,8,28.0,1,False,22.813698630136987,23,23.0,809.0,85.0,1.0,4.0,1.0,1085.0,1.0,2.0,119.0,38.52,74.56,11,11.0,274.0,26.0,1.0,1.0,0.0,446.0,1.0,0.0,80.0,24.9,61.43,86.0,86.0,2998.0,336.0,10.0,18.0,5.0,3913.0,7.0,4.0,137.0,36.56,76.61,76,1,11728_1
29553,56029,2008-06-25 10:00:00,25,0,545,2.0,3,1,1,0,0,0,1,9,16,0.0,0.0,7718.0,5,8,263,246.0,7577.0,597.0,98.0,48.0,48.0,9.0,9519.0,11.0,40.0,144.0,36.78,79.59,7,44.0,1,False,21.145205479452056,35,33.0,1062.0,68.0,13.0,5.0,2.0,1347.0,3.0,1.0,144.0,33.18,78.84,7,7.0,194.0,15.0,1.0,1.0,0.0,250.0,0.0,0.0,64.0,27.71,77.6,30.0,30.0,664.0,47.0,10.0,2.0,0.0,876.0,0.0,5.0,67.0,26.56,75.79,46,1,56029_1
32629,308967,2013-09-16 13:00:00,1,1,1184,2.0,2,0,1,0,0,0,1,9,16,0.0,0.0,8409.0,7,2,175,148.0,4928.0,400.0,166.0,25.0,25.0,11.0,4193.0,13.0,26.0,162.0,40.39,117.52,1,42.0,1,True,23.03835616438356,34,32.0,968.0,80.0,22.0,5.0,2.0,927.0,2.0,7.0,110.0,38.72,104.42,83,67.0,2313.0,202.0,62.0,14.0,5.0,1981.0,4.0,13.0,129.0,42.83,116.75,29.0,29.0,922.0,84.0,22.0,6.0,1.0,785.0,1.0,6.0,121.0,40.08,117.45,36,1,308967_1
30675,533956,2019-06-18 09:30:00,40,1,75,2.0,1,0,1,0,0,0,1,0,16,0.0,0.0,9478.0,3,1,103,99.0,3481.0,300.0,38.0,25.0,25.0,5.0,4902.0,5.0,4.0,114.0,36.64,71.01,1,46.0,1,False,25.96712328767123,2,2.0,49.0,3.0,1.0,0.0,0.0,82.0,0.0,0.0,46.0,24.5,59.75,9,9.0,254.0,31.0,1.0,1.0,0.0,390.0,1.0,0.0,62.0,28.22,65.12,87.0,87.0,2988.0,253.0,36.0,22.0,4.0,4243.0,5.0,3.0,114.0,35.57,70.42,40,1,533956_1
34916,28081,2013-11-27 03:30:00,6,6,419,2.0,1,0,1,0,0,0,1,9,16,0.0,0.0,11831.0,6,4,350,297.0,10773.0,826.0,229.0,73.0,73.0,10.0,12303.0,10.0,84.0,183.0,50.57,87.56,6,23.0,1,True,32.413698630136984,39,33.0,1005.0,63.0,28.0,8.0,0.0,1108.0,0.0,15.0,95.0,55.83,90.7,130,116.0,4525.0,367.0,123.0,25.0,8.0,4889.0,3.0,33.0,183.0,54.51,92.55,129.0,129.0,4164.0,312.0,87.0,30.0,1.0,4968.0,2.0,41.0,139.0,47.31,83.81,75,1,28081_1
37666,4578,2007-04-16 13:30:00,2,0,1131,2.0,1,1,1,0,0,0,1,5,16,1.78,0.0,9510.0,4,8,245,223.0,7981.0,665.0,53.0,58.0,58.0,8.0,10104.0,10.0,44.0,130.0,44.58,78.98,4,23.0,1,False,26.054794520547944,34,32.0,1279.0,93.0,13.0,11.0,1.0,1486.0,3.0,11.0,117.0,60.9,86.06,20,18.0,723.0,63.0,8.0,7.0,0.0,861.0,0.0,7.0,93.0,65.72,83.97,111.0,111.0,4223.0,334.0,27.0,32.0,5.0,5490.0,4.0,20.0,130.0,46.4,76.92,75,1,4578_1
35249,318339,2019-06-24 09:30:00,40,0,1184,2.0,1,1,1,0,0,0,1,0,16,0.0,0.0,11498.0,6,25,84,74.0,1811.0,137.0,26.0,11.0,11.0,0.0,2765.0,1.0,12.0,96.0,29.2,65.49,1,49.0,1,False,31.5013698630137,6,6.0,226.0,18.0,3.0,1.0,0.0,263.0,0.0,2.0,81.0,56.5,85.93,3,3.0,74.0,4.0,1.0,0.0,0.0,92.0,0.0,2.0,49.0,74.0,80.43,15.0,15.0,256.0,15.0,4.0,0.0,0.0,394.0,0.0,2.0,49.0,19.69,64.97,34,1,318339_1
37880,41378,2011-11-14 11:00:00,7,0,2439,2.0,2,1,1,0,0,0,1,5,16,0.0,0.0,13684.0,4,8,162,149.0,5122.0,342.0,83.0,42.0,42.0,0.0,6945.0,6.0,31.0,96.0,43.4,73.75,27,21.0,1,False,37.49041095890411,30,26.0,981.0,62.0,14.0,10.0,0.0,1334.0,1.0,5.0,83.0,46.71,73.53,38,35.0,1099.0,67.0,15.0,7.0,0.0,1585.0,1.0,6.0,79.0,37.89,69.33,51.0,51.0,1945.0,130.0,27.0,19.0,0.0,2894.0,1.0,10.0,83.0,47.43,67.2,81,1,41378_1
36799,9062,2011-02-27 09:00:00,1,6,683,2.0,2,0,1,0,0,0,1,7,16,5.1,0.0,10549.0,4,6,161,157.0,5416.0,525.0,32.0,35.0,35.0,4.0,7019.0,6.0,14.0,141.0,37.87,77.16,6,69.0,1,False,28.9013698630137,31,31.0,1163.0,119.0,9.0,6.0,2.0,1362.0,0.0,4.0,126.0,43.07,85.38,20,20.0,710.0,75.0,4.0,4.0,1.0,926.0,0.0,1.0,113.0,37.36,76.67,14.0,14.0,392.0,23.0,4.0,3.0,0.0,510.0,0.0,1.0,81.0,30.15,76.86,24,1,9062_1
29295,337790,2019-05-30 09:30:00,3,1,45,2.0,1,0,1,0,0,0,1,7,16,0.0,0.0,11069.0,5,1,55,49.0,2094.0,163.0,35.0,13.0,13.0,5.0,2361.0,1.0,10.0,134.0,53.69,88.69,1,50.0,1,False,30.326027397260276,11,10.0,467.0,39.0,3.0,2.0,2.0,497.0,1.0,1.0,134.0,51.88,93.96,12,9.0,471.0,28.0,10.0,3.0,1.0,503.0,1.0,1.0,134.0,58.87,93.63,13.0,13.0,586.0,36.0,15.0,5.0,1.0,628.0,0.0,5.0,129.0,73.25,93.31,38,1,337790_1
37506,11728,2008-06-28 09:45:00,1,1,10,2.0,1,0,1,0,0,0,1,6,6,6.02,0.0,8586.0,2,5,92,92.0,3204.0,363.0,10.0,19.0,19.0,5.0,4154.0,7.0,4.0,137.0,36.4,77.13,1,24.0,1,True,23.523287671232875,13,13.0,464.0,49.0,3.0,4.0,0.0,619.0,1.0,0.0,78.0,35.69,74.95,49,49.0,1600.0,179.0,4.0,8.0,3.0,2046.0,5.0,4.0,119.0,35.55,78.2,6.0,6.0,206.0,27.0,0.0,1.0,0.0,241.0,0.0,0.0,60.0,34.33,85.47,86,1,11728_1
30591,219889,2016-10-02 08:00:00,2,3,508,2.0,1,0,1,0,0,0,1,6,6,1.7,0.0,10933.0,2,3,156,154.0,6810.0,721.0,125.0,32.0,32.0,22.0,7000.0,4.0,6.0,179.0,46.01,97.28,3,50.0,1,False,29.95342465753425,29,29.0,1226.0,139.0,25.0,5.0,5.0,1201.0,2.0,0.0,173.0,42.27,102.08,17,17.0,808.0,98.0,14.0,3.0,3.0,731.0,1.0,0.0,173.0,47.52,110.53,64.0,64.0,2462.0,245.0,48.0,16.0,7.0,2690.0,1.0,2.0,130.0,39.7,91.52,38,1,219889_1
