,player_id,start_time,player_team_id,home_team_id,ground_id,international_class_id,floodlit,neutral_match,international_valid,followon,rain_rule,days_extended,actual_days,position_id,style_id,height,weight,current_age_in_days,batting_order,opponent_team_id,mt,inns,rn,fo,si,ft,ft,hn,bf,dk,times_not_out,hs,bta,btsr,country_id,target_value,target_id,is_home,current_age,opposition_mt,opposition_inns,opposition_rn,opposition_fo,opposition_si,opposition_ft,opposition_hn,opposition_bf,opposition_dk,opposition_times_not_out,opposition_hs,opposition_bta,opposition_btsr,host_mt,host_inns,host_rn,host_fo,host_si,host_ft,host_hn,host_bf,host_dk,host_times_not_out,host_hs,host_bta,host_btsr,batting_positionval1_mt,batting_positionval1_inns,batting_positionval1_rn,batting_positionval1_fo,batting_positionval1_si,batting_positionval1_ft,batting_positionval1_hn,batting_positionval1_bf,batting_positionval1_dk,batting_positionval1_times_not_out,batting_positionval1_hs,batting_positionval1_bta,batting_positionval1_btsr
95,417381,2023-06-25 07:00:00,29,0,261,2.0,1,1,1,0,0,0,1,2,6,0.0,0.0,11013.0,1,8,83,56.0,826.0,78.0,13.0,2.0,2.0,0.0,1175.0,3.0,12.0,79.0,18.77,70.29,9,0.0,6,False,30.172602739726027,2,2.0,96.0,10.0,2.0,1.0,0.0,85.0,0.0,0.0,79.0,48.0,112.94,17,14.0,225.0,22.0,4.0,0.0,0.0,290.0,0.0,7.0,35.0,32.14,77.58,6.0,6.0,145.0,18.0,2.0,0.0,0.0,203.0,0.0,0.0,35.0,24.16,71.42
97,417381,2023-07-04 07:00:00,29,0,1904,2.0,1,1,1,0,0,0,1,2,6,0.0,0.0,11022.0,1,32,83,56.0,826.0,78.0,13.0,2.0,2.0,0.0,1175.0,3.0,12.0,79.0,18.77,70.29,9,0.0,6,False,30.197260273972603,1,1.0,17.0,3.0,0.0,0.0,0.0,19.0,0.0,0.0,17.0,17.0,89.47,17,14.0,225.0,22.0,4.0,0.0,0.0,290.0,0.0,7.0,35.0,32.14,77.58,6.0,6.0,145.0,18.0,2.0,0.0,0.0,203.0,0.0,0.0,35.0,24.16,71.42
105,417381,2023-05-14 09:45:00,29,0,318,2.0,1,1,1,0,0,0,1,2,6,0.0,0.0,10971.0,8,25,83,56.0,826.0,78.0,13.0,2.0,2.0,0.0,1175.0,3.0,12.0,79.0,18.77,70.29,1,0.0,6,False,30.057534246575344,6,3.0,5.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,4.0,1.66,27.77,7,4.0,72.0,5.0,1.0,0.0,0.0,94.0,0.0,0.0,40.0,18.0,76.59,22.0,22.0,220.0,14.0,4.0,1.0,0.0,322.0,1.0,7.0,79.0,14.66,68.32
118,629074,2023-10-07 08:30:00,8,0,333,2.0,2,1,1,0,0,0,1,9,16,0.0,0.0,10474.0,3,3,118,115.0,3483.0,346.0,61.0,26.0,26.0,3.0,4018.0,14.0,9.0,122.0,32.85,86.68,6,8.0,6,False,28.695890410958903,18,18.0,514.0,48.0,12.0,4.0,0.0,625.0,1.0,0.0,76.0,28.55,82.24,9,9.0,306.0,29.0,15.0,1.0,1.0,256.0,1.0,0.0,122.0,34.0,119.53,72.0,72.0,2261.0,235.0,38.0,18.0,2.0,2567.0,9.0,6.0,122.0,34.25,88.07
119,629074,2023-06-07 04:30:00,8,8,2502,2.0,1,0,1,0,0,0,1,9,16,0.0,0.0,10352.0,3,40,118,115.0,3483.0,346.0,61.0,26.0,26.0,3.0,4018.0,14.0,9.0,122.0,32.85,86.68,8,0.0,6,True,28.361643835616437,10,10.0,303.0,27.0,5.0,3.0,0.0,321.0,1.0,2.0,92.0,37.87,94.39,50,50.0,1651.0,166.0,20.0,13.0,2.0,1917.0,4.0,6.0,119.0,37.52,86.12,72.0,72.0,2261.0,235.0,38.0,18.0,2.0,2567.0,9.0,6.0,122.0,34.25,88.07
120,629074,2023-09-12 09:30:00,8,8,1004,2.0,2,0,1,0,0,0,1,9,16,0.0,0.0,10449.0,3,6,118,115.0,3483.0,346.0,61.0,26.0,26.0,3.0,4018.0,14.0,9.0,122.0,32.85,86.68,8,0.0,6,True,28.627397260273973,11,11.0,219.0,28.0,2.0,1.0,0.0,303.0,1.0,0.0,89.0,19.9,72.27,50,50.0,1651.0,166.0,20.0,13.0,2.0,1917.0,4.0,6.0,119.0,37.52,86.12,72.0,72.0,2261.0,235.0,38.0,18.0,2.0,2567.0,9.0,6.0,122.0,34.25,88.07
122,629074,2023-01-15 08:00:00,8,6,3400,2.0,2,0,1,0,0,0,1,9,16,0.0,0.0,10209.0,3,6,118,115.0,3483.0,346.0,61.0,26.0,26.0,3.0,4018.0,14.0,9.0,122.0,32.85,86.68,6,0.0,6,False,27.96986301369863,11,11.0,219.0,28.0,2.0,1.0,0.0,303.0,1.0,0.0,89.0,19.9,72.27,9,9.0,306.0,29.0,15.0,1.0,1.0,256.0,1.0,0.0,122.0,34.0,119.53,72.0,72.0,2261.0,235.0,38.0,18.0,2.0,2567.0,9.0,6.0,122.0,34.25,88.07
131,629074,2023-08-31 09:30:00,8,8,2503,2.0,2,0,1,0,0,0,1,9,16,0.0,0.0,10437.0,3,25,118,115.0,3483.0,346.0,61.0,26.0,26.0,3.0,4018.0,14.0,9.0,122.0,32.85,86.68,8,0.0,6,True,28.594520547945205,15,14.0,461.0,38.0,8.0,3.0,1.0,613.0,1.0,1.0,102.0,35.46,75.2,50,50.0,1651.0,166.0,20.0,13.0,2.0,1917.0,4.0,6.0,119.0,37.52,86.12,72.0,72.0,2261.0,235.0,38.0,18.0,2.0,2567.0,9.0,6.0,122.0,34.25,88.07
132,629074,2023-07-07 07:00:00,8,0,260,2.0,1,1,1,0,0,0,1,9,16,0.0,0.0,10382.0,3,4,118,115.0,3483.0,346.0,61.0,26.0,26.0,3.0,4018.0,14.0,9.0,122.0,32.85,86.68,9,0.0,6,False,28.443835616438356,7,7.0,365.0,35.0,7.0,2.0,1.0,355.0,0.0,1.0,119.0,60.83,102.81,13,11.0,358.0,40.0,7.0,3.0,0.0,390.0,1.0,3.0,94.0,44.75,91.79,72.0,72.0,2261.0,235.0,38.0,18.0,2.0,2567.0,9.0,6.0,122.0,34.25,88.07
133,629074,2023-03-25 01:00:00,8,5,283,2.0,2,0,1,0,0,0,1,9,16,0.0,0.0,10278.0,3,5,118,115.0,3483.0,346.0,61.0,26.0,26.0,3.0,4018.0,14.0,9.0,122.0,32.85,86.68,5,0.0,6,False,28.15890410958904,6,6.0,38.0,4.0,0.0,0.0,0.0,73.0,4.0,0.0,20.0,6.33,52.05,5,5.0,38.0,4.0,0.0,0.0,0.0,72.0,3.0,0.0,20.0,7.6,52.77,72.0,72.0,2261.0,235.0,38.0,18.0,2.0,2567.0,9.0,6.0,122.0,34.25,88.07
